algos,root_mean_squared_error_end_time,root_mean_squared_error_start_time,root_mean_squared_error_total_time
600.perlbench_s,2022-07-07 13:14:11.743075,2022-07-07 13:08:49.828632,0:05:21.914443
602.gcc_s,2022-07-07 13:19:31.333734,2022-07-07 13:14:11.743101,0:05:19.590633
605.mcf_s,2022-07-07 13:24:43.716858,2022-07-07 13:19:31.333754,0:05:12.383104
620.omnetpp_s,2022-07-07 13:30:02.588857,2022-07-07 13:24:43.716878,0:05:18.871979
623.xalancbmk_s,2022-07-07 13:35:19.435745,2022-07-07 13:30:02.588875,0:05:16.846870
625.x264_s,2022-07-07 13:40:39.709389,2022-07-07 13:35:19.435768,0:05:20.273621
631.deepsjeng_s,2022-07-07 13:46:03.682559,2022-07-07 13:40:39.709409,0:05:23.973150
641.leela_s,2022-07-07 13:51:24.176185,2022-07-07 13:46:03.682577,0:05:20.493608
648.exchange2_s,2022-07-07 13:56:45.642040,2022-07-07 13:51:24.176201,0:05:21.465839
657.xz_s,2022-07-07 14:01:59.023944,2022-07-07 13:56:45.642056,0:05:13.381888
401.bzip2,2022-07-07 14:07:22.864066,2022-07-07 14:01:59.023963,0:05:23.840103
456.hmmer,2022-07-07 14:12:37.362091,2022-07-07 14:07:22.864085,0:05:14.498006
458.sjeng,2022-07-07 14:17:52.542784,2022-07-07 14:12:37.362109,0:05:15.180675
462.libquantum,2022-07-07 14:23:15.907216,2022-07-07 14:17:52.542804,0:05:23.364412
473.astar,2022-07-07 14:28:38.843503,2022-07-07 14:23:15.907234,0:05:22.936269
